127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000882
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000602
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000766
127.0.0.1, 2015-09-15 22:32:31, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000669
127.0.0.1, 2015-09-15 22:32:32, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000987
127.0.0.1, 2015-09-15 22:32:32, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000704
127.0.0.1, 2015-09-15 22:32:32, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000370
127.0.0.1, 2015-09-15 22:32:32, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000319
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/default/index, HTTP/1.1, 200, 0.071998
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.000483
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.000621
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002180
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000939
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.002162
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001740
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003347
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000972
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000414
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004081
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000487
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000646
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.001871
127.0.0.1, 2015-09-15 22:32:58, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000309
127.0.0.1, 2015-09-15 22:32:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000185
127.0.0.1, 2015-09-15 22:33:00, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000488
127.0.0.1, 2015-09-15 22:33:03, POST, /admin/default/index, HTTP/1.1, 303, 0.023945
127.0.0.1, 2015-09-15 22:33:03, GET, /admin/default/site, HTTP/1.1, 200, 0.035873
127.0.0.1, 2015-09-15 22:33:04, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.000520
127.0.0.1, 2015-09-15 22:33:04, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.000787
127.0.0.1, 2015-09-15 22:33:04, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000299
127.0.0.1, 2015-09-15 22:33:06, POST, /admin/default/check_version, HTTP/1.1, 200, 2.291371
127.0.0.1, 2015-09-15 22:38:28, GET, /main/static, HTTP/1.1, 500, 0.035344
127.0.0.1, 2015-09-15 22:38:48, GET, /main/static/images/facebook.jpg, HTTP/1.1, 404, 0.000232
127.0.0.1, 2015-09-15 22:39:47, GET, /main/static/images/facebook.png, HTTP/1.1, 200, 0.000282
127.0.0.1, 2015-09-15 22:41:33, GET, /main/static/js/myHtml.html, HTTP/1.1, 200, 0.000297
127.0.0.1, 2015-09-15 22:42:16, GET, /main/static/myHtml.html, HTTP/1.1, 200, 0.000577
127.0.0.1, 2015-09-15 22:42:20, GET, /main/static/myHtml.html, HTTP/1.1, 304, 0.000408
127.0.0.1, 2015-09-15 22:42:48, GET, /main/static/403.html, HTTP/1.1, 200, 0.000292
127.0.0.1, 2015-09-15 22:42:55, GET, /main/static/myHtml.html, HTTP/1.1, 304, 0.000251
127.0.0.1, 2015-09-15 22:42:56, GET, /main/static/myHtml.html, HTTP/1.1, 304, 0.000250
127.0.0.1, 2015-09-15 22:43:23, GET, /main/static/myHtml.html, HTTP/1.1, 200, 0.000339
127.0.0.1, 2015-09-15 22:44:05, GET, /main/static/myHtml.html, HTTP/1.1, 200, 0.000337
127.0.0.1, 2015-09-15 22:44:17, GET, /main/static/myHtml.html, HTTP/1.1, 304, 0.000240
127.0.0.1, 2015-09-15 22:44:18, GET, /main, HTTP/1.1, 200, 0.090163
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/css/web2py.css, HTTP/1.1, 200, 0.000244
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000454
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/css/calendar.css, HTTP/1.1, 200, 0.000632
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000421
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001338
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/js/jquery.js, HTTP/1.1, 200, 0.001827
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002478
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/js/web2py.js, HTTP/1.1, 200, 0.000664
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/js/calendar.js, HTTP/1.1, 200, 0.002225
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000659
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/js/share.js, HTTP/1.1, 200, 0.000937
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/images/facebook.png, HTTP/1.1, 200, 0.000636
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/images/twitter.png, HTTP/1.1, 200, 0.001399
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/images/gplus-32.png, HTTP/1.1, 200, 0.000761
127.0.0.1, 2015-09-15 22:44:18, GET, /main/static/images/favicon.ico, HTTP/1.1, 200, 0.000277
127.0.0.1, 2015-09-15 22:44:29, GET, /admin/default/peek/main/views/default/index.html, HTTP/1.1, 200, 0.033170
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/default/peek/main/views/default/index.html, HTTP/1.1, 200, 0.027973
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 304, 0.000535
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000463
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.000411
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 304, 0.000828
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.000438
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001245
127.0.0.1, 2015-09-15 22:47:13, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001231
